genre,mean_offset,offset_p,granger_lag,granger_p
Rock,1.6854395604395604,0.0,-1.5142531356898519,0.0
Rap,-0.8362760834670947,0.00112,-0.8142201834862385,1e-05
Latin,2.480874316939891,0.0,0.3054545454545455,0.15734
Jazz,-0.4947916666666667,0.03635,-0.3702239789196311,0.06404
Electronic,-0.24079754601226994,0.18315,-0.7481840193704601,0.00051
Punk,0.2125748502994012,0.18688,-0.9241293532338308,8e-05
Pop,1.6253561253561253,0.0,-1.184510250569476,0.0
New Age,-1.028735632183908,0.02318,1.3222591362126246,0.00037
Metal,0.6,0.00974,-1.0826245443499392,0.0
RnB,0.27607361963190186,0.13755,-0.7538071065989848,0.00078
Country,0.3237639553429027,0.10947,-1.7086092715231789,0.0
Reggae,-0.19595645412130638,0.22381,-0.16365824308062576,0.24194
Folk,0.5432692307692307,0.0214,-0.907292954264524,3e-05
Blues,-1.0092764378478665,0.00017,-0.3130311614730878,0.10494
World,-1.0988372093023255,0.0001,0.5838150289017341,0.01296
